id,order number,probe,network_status,expense_type,children_under_4,children_under_12,children_under_18,children_under_26,employee_type,distance_dm_home_to_employer_hq,travel_location_known,owns_rents,no_of_medical_visits_previous_year,percent_family_members_with_chronic_condition,percent_family_members_that_play_sports,val1,val2,val3,val4,action
probe_8499_18bfc26c-2485-4b9a-8fa9-bf064e56e1a6,8499,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,0,1,2,0,Salaried,4592,Yes,Rents,16,17,35,1600,600,200,0,600
probe_4080_4b4ef59a-b4c2-473e-83ff-00eb1b02b910,4080,DEDUCTIBLE,IN-NETWORK,COST IN $,2,4,3,3,Bonus,2294,Yes,Owns,47,72,79,1600,600,200,0,200
probe_954_7c862baf-a041-4872-bfc3-6cd02f74b4c5,954,URGENT CARE CENTER,IN-NETWORK,CO-PAY IN $,0,1,0,0,Hourly,3429,No,Rents,8,8,6,75,50,30,0,75
probe_6046_0a5943ce-c65c-4e7a-a7f7-283cb14d7c39,6046,OUTPATIENT SERVICES (SURGERY),IN-NETWORK,PERCENT PLAN PAYS,4,4,4,3,Salaried,83,Yes,Owns,40,75,77,80,90,95,100,95
probe_9922_129bcad9-0ba2-4a90-9106-9e466cfe7eff,9922,SPECIALIST OFFICE VISIT,TIER 1 NETWORK,CO-PAY IN $,2,1,0,0,Bonus,1139,No,Owns,13,16,31,200,100,10,0,10
probe_4380_f85cb649-babd-482b-b0ab-2cda133fa0e7,4380,OUT-OF-POCKET MAXIMUM,IN-NETWORK,MAXIMUM COST,2,3,2,1,Bonus,3149,No,Owns,17,29,55,6450,4000,2000,1500,4000
probe_1039_c0fbb059-89fd-47c6-b054-2b0c649eb4d7,1039,DEDUCTIBLE,IN-NETWORK,COST IN $,1,0,0,0,Salaried,2852,Yes,Rents,1,5,5,1600,600,200,0,1600
probe_4506_95c9809c-d692-4e43-b434-a2b488d2ec50,4506,PRIMARY CARE PHYSICIAN (PCP) ,IN-NETWORK,CO-PAY IN $,1,1,1,3,Bonus,4027,Yes,Rents,21,31,54,80,40,20,15,40
probe_11880_e6c8a6d5-27e6-42ee-8579-12b0821eb9ab,11880,PRIMARY CARE PHYSICIAN (PCP) ,IN-NETWORK,CO-PAY IN $,0,2,0,1,Hourly,176,Yes,Rents,9,18,32,80,40,20,15,20
probe_6943_50c5f14e-cb58-4062-a1d9-a2da39e51cd6,6943,URGENT CARE CENTER,OUT-OF-NETWORK,PERCENT PLAN PAYS,3,1,2,3,Bonus,144,Yes,Owns,24,47,55,50,70,80,100,80
probe_2444_2091aa3b-0a8d-4dce-8ef5-1c444a24ed8e,2444,SPECIALIST OFFICE VISIT,OUT-OF-NETWORK,PERCENT PLAN PAYS,2,3,1,3,Bonus,4623,Yes,Owns,19,48,52,50,60,70,80,60
probe_6885_271f7944-3465-4995-a691-017ebc467912,6885,RETAIL PHARMACY (UP TO A 30-DAY SUPPLY),GENERIC,CO-PAY IN $,3,3,3,3,Hourly,2879,Yes,Rents,61,60,80,20,15,10,10,10
probe_8553_e781396f-28c2-4853-b153-a4c0ab7489c1,8553,URGENT CARE CENTER,OUT-OF-NETWORK,PERCENT PLAN PAYS,4,3,2,4,Salaried,4377,No,Rents,46,73,76,50,70,80,100,80
probe_6511_9f3a46da-3538-4135-a9a6-9190b2b5f78c,6511,URGENT CARE CENTER,IN-NETWORK,CO-PAY IN $,2,3,3,3,Salaried,1214,No,Owns,37,67,81,75,50,30,0,30
probe_4453_02883cfd-5933-4108-a03f-e4826b416dfe,4453,SPECIALIST OFFICE VISIT,OUT-OF-NETWORK,PERCENT PLAN PAYS,1,1,1,3,Bonus,4027,Yes,Rents,21,31,54,50,60,70,80,60
probe_2410_b214fba0-d192-461c-9805-6b0f933b15b1,2410,MAIL ORDER (UP TO A 90-DAY SUPPLY),,CO-PAY IN $,1,1,1,0,Hourly,152,Yes,Owns,15,16,39,100,50,30,10,100
